id,p,percolation,blackCount,concentrationRate,averageBlackCellInRow,averageBlackCellInColumn,zeroRowCount,zeroColumnCount
363,0.9,false,1112,0.4448,22.24,22.24,2,0
364,0.9,false,1096,0.4384,21.92,21.92,2,0
365,0.9,false,1148,0.4592,22.96,22.96,0,0
366,0.9,false,1118,0.4472,22.36,22.36,1,0
367,0.9,false,1126,0.4504,22.52,22.52,2,0
368,0.9,false,1135,0.454,22.7,22.7,3,0
369,0.9,false,1110,0.444,22.2,22.2,1,0
370,0.9,false,1123,0.4492,22.46,22.46,0,0
371,0.9,false,1086,0.4344,21.72,21.72,1,0
372,0.9,false,1111,0.4444,22.22,22.22,0,0
373,0.9,false,1097,0.4388,21.94,21.94,3,0
374,0.9,false,1152,0.4608,23.04,23.04,1,0
375,0.9,false,1116,0.4464,22.32,22.32,1,0
376,0.9,false,1138,0.4552,22.76,22.76,0,0
377,0.9,false,1155,0.462,23.1,23.1,0,0
378,0.9,false,1051,0.4204,21.02,21.02,1,0
379,0.9,false,1144,0.4576,22.88,22.88,1,0
380,0.9,false,1109,0.4436,22.18,22.18,0,0
381,0.9,false,1131,0.4524,22.62,22.62,1,0
382,0.9,false,1148,0.4592,22.96,22.96,0,0
383,0.9,false,1126,0.4504,22.52,22.52,2,0
384,0.9,false,1128,0.4512,22.56,22.56,1,0
385,0.9,false,1103,0.4412,22.06,22.06,0,0
386,0.9,false,1107,0.4428,22.14,22.14,1,0
387,0.9,false,1119,0.4476,22.38,22.38,1,0
388,0.9,false,1145,0.458,22.9,22.9,0,0
389,0.9,false,1136,0.4544,22.72,22.72,0,0
390,0.9,false,1119,0.4476,22.38,22.38,1,0
391,0.9,false,1122,0.4488,22.44,22.44,1,0
392,0.9,false,1099,0.4396,21.98,21.98,0,0
393,0.9,false,1174,0.4696,23.48,23.48,2,0
394,0.9,false,1098,0.4392,21.96,21.96,1,0
395,0.9,false,1114,0.4456,22.28,22.28,0,0
396,0.9,false,1105,0.442,22.1,22.1,0,0
397,0.9,false,1125,0.45,22.5,22.5,1,0
398,0.9,false,1093,0.4372,21.86,21.86,2,0
399,0.9,false,1076,0.4304,21.52,21.52,1,0
400,0.9,false,1092,0.4368,21.84,21.84,0,0
401,0.9,false,1105,0.442,22.1,22.1,2,0
402,0.9,false,1113,0.4452,22.26,22.26,0,0
403,0.9,false,1152,0.4608,23.04,23.04,1,0
404,0.9,false,1114,0.4456,22.28,22.28,1,0
405,0.9,false,1072,0.4288,21.44,21.44,2,0
406,0.9,false,1130,0.452,22.6,22.6,0,0
407,0.9,false,1115,0.446,22.3,22.3,1,0
408,0.9,false,1081,0.4324,21.62,21.62,1,0
409,0.9,false,1093,0.4372,21.86,21.86,2,0
410,0.9,false,1107,0.4428,22.14,22.14,1,0
411,0.9,false,1125,0.45,22.5,22.5,1,0
412,0.9,false,1147,0.4588,22.94,22.94,2,0
413,0.9,false,1101,0.4404,22.02,22.02,1,0
414,0.9,false,1075,0.43,21.5,21.5,0,0
415,0.9,false,1088,0.4352,21.76,21.76,2,0
416,0.9,false,1122,0.4488,22.44,22.44,1,0
417,0.9,false,1078,0.4312,21.56,21.56,0,0
418,0.9,false,1071,0.4284,21.42,21.42,1,0
419,0.9,false,1114,0.4456,22.28,22.28,2,0
420,0.9,false,1120,0.448,22.4,22.4,3,0
421,0.9,false,1095,0.438,21.9,21.9,0,0
422,0.9,false,1106,0.4424,22.12,22.12,2,0
423,0.9,false,1079,0.4316,21.58,21.58,0,0
424,0.9,false,1089,0.4356,21.78,21.78,2,0
425,0.9,false,1124,0.4496,22.48,22.48,1,0
426,0.9,false,1143,0.4572,22.86,22.86,1,0
427,0.9,false,1152,0.4608,23.04,23.04,1,0
428,0.9,false,1122,0.4488,22.44,22.44,2,0
429,0.9,false,1088,0.4352,21.76,21.76,0,0
430,0.9,false,1128,0.4512,22.56,22.56,0,0
431,0.9,false,1109,0.4436,22.18,22.18,0,0
432,0.9,false,1100,0.44,22.0,22.0,1,0
433,0.9,false,1117,0.4468,22.34,22.34,1,0
434,0.9,false,1094,0.4376,21.88,21.88,2,0
435,0.9,false,1108,0.4432,22.16,22.16,1,0
436,0.9,false,1143,0.4572,22.86,22.86,1,0
437,0.9,false,1105,0.442,22.1,22.1,1,0
438,0.9,false,1105,0.442,22.1,22.1,0,0
